Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,AgeBuilt,AgeRemodeled,AgeGarage,MSSubClass_30,MSZoning_C (all),MSZoning_RM,CentralAir_N,CentralAir_Y,GarageType_Attchd,GarageType_Detchd
1,65.0,8450.0,7.0,5.0,2003.0,2003.0,4.0,6.0,706.0,856.0,856.0,854.0,1710.0,2.0,1.0,4.0,0.0,2003.0,2.0,2.0,548.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,80.0,9600.0,6.0,8.0,1976.0,1976.0,4.0,5.0,978.0,1262.0,1262.0,0.0,1262.0,2.0,1.0,3.0,3.0,1976.0,2.0,2.0,460.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3,68.0,11250.0,7.0,5.0,2001.0,2002.0,4.0,6.0,486.0,920.0,920.0,866.0,1786.0,2.0,1.0,4.0,3.0,2001.0,2.0,2.0,608.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,60.0,9550.0,7.0,5.0,1915.0,1970.0,3.0,5.0,216.0,756.0,961.0,756.0,1717.0,1.0,1.0,4.0,4.0,1998.0,1.0,3.0,642.0,107.0,52.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,84.0,14260.0,8.0,5.0,2000.0,2000.0,4.0,6.0,655.0,1145.0,1145.0,1053.0,2198.0,2.0,1.0,4.0,3.0,2000.0,2.0,3.0,836.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
6,85.0,14115.0,5.0,5.0,1993.0,1995.0,4.0,6.0,732.0,796.0,796.0,566.0,1362.0,1.0,1.0,3.0,0.0,1993.0,1.0,2.0,480.0,29.0,27.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,75.0,10084.0,8.0,5.0,2004.0,2005.0,5.0,6.0,1369.0,1686.0,1694.0,0.0,1694.0,2.0,1.0,4.0,4.0,2004.0,2.0,2.0,636.0,18.0,17.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,87.66666666666667,10382.0,7.0,6.0,1973.0,1973.0,4.0,5.0,859.0,1107.0,1107.0,983.0,2090.0,2.0,1.0,3.0,3.0,1973.0,2.0,2.0,484.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9,51.0,6120.0,7.0,5.0,1931.0,1950.0,3.0,1.0,0.0,952.0,1022.0,752.0,1774.0,2.0,2.0,3.0,3.0,1931.0,1.0,2.0,468.0,91.0,72.0,91.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10,50.0,7420.0,5.0,6.0,1939.0,1950.0,3.0,6.0,851.0,991.0,1077.0,0.0,1077.0,1.0,2.0,3.0,3.0,1939.0,2.0,1.0,205.0,83.0,72.0,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,70.0,11200.0,5.0,5.0,1965.0,1965.0,3.0,3.0,906.0,1040.0,1040.0,0.0,1040.0,1.0,1.0,3.0,0.0,1965.0,1.0,1.0,384.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,85.0,11924.0,9.0,5.0,2005.0,2006.0,5.0,6.0,998.0,1175.0,1182.0,1142.0,2324.0,3.0,1.0,5.0,4.0,2005.0,3.0,3.0,736.0,17.0,16.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,74.0,12968.0,5.0,6.0,1962.0,1962.0,3.0,5.0,737.0,912.0,912.0,0.0,912.0,1.0,1.0,3.0,0.0,1962.0,1.0,1.0,352.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
